,Name,Card Type,Attribute,Type of Spell and Trap,Type,Level/Rank/Link,Abilities/Other,Cid,Release Name,Release Date,Release Link
0,Red-Eyes Black Metal Dragon,Effect,DARK,,Machine,8,,4748,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
1,D/D/D Wave High King Caesar,Xyz,WATER,,Fiend,6,,13081,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
2,Moulinglacia the Elemental Lord,Effect,WATER,,Sea Serpent,8,,10257,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
3,"Gadarla, the Mystery Dust Kaiju",Effect,WIND,,Insect,8,,12248,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
4,Samurai Destroyer,Synchro,EARTH,,Machine,7,,13360,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
5,Jowgen the Spiritualist,Effect,LIGHT,,Spellcaster,3,,5247,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
6,Helios - The Primordial Sun,Effect,LIGHT,,Pyro,4,,6646,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
7,Great Shogun Shien,Effect,FIRE,,Warrior,7,,6969,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
8,Fabled Lurrie,Effect,LIGHT,,Fiend,1,,8092,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
9,Kuriphoton,Effect,LIGHT,,Fiend,1,,10336,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
10,Blue Dragon Summoner,Effect,WIND,,Spellcaster,4,,11142,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
11,Number 17: Leviathan Dragon,Xyz,WATER,,Dragon,3,,9656,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
12,Submersible Carrier Aero Shark,Xyz,WATER,,Fish,3,,9657,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
13,Lyrilusc - Assembled Nightingale,Xyz,WIND,,Winged Beast,1,,12957,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
14,Marincess Coral Anemone,Link,WATER,,Cyberse,2,,14489,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
15,Dark Factory of Mass Production,Spell,,Normal Spell,,,,6129,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
16,Inferno Reckless Summon,Spell,,Quick-play Spell,,,,6542,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
17,Mausoleum of the Emperor,Spell,,Field Spell,,,,6759,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
18,Cunning of the Six Samurai,Spell,,Quick-play Spell,,,,7314,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
19,Lightsworn Sanctuary,Spell,,Continuous Spell,,,,11302,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
20,Metalmorph,Trap,,Normal Trap,,,,4664,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
21,Time Seal,Trap,,Normal Trap,,,,4984,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
22,Rare Metalmorph,Trap,,Continuous Trap,,,,6219,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
23,Grave of the Super Ancient Organism,Trap,,Continuous Trap,,,,8230,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
24,Statue of Anguish Pattern,Trap,,Continuous Trap,,,,11753,TOURNAMENT PACK 2024 Vol.4,2024/10/01,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001411000&rp=99999&request_locale=ae
25,Dark Magician Girl,Effect,DARK,,Spellcaster,6,,4766,Yu-Gi-Oh! Open Tournament Singapore 2024 Prize Card,2024/09/14,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001421000&rp=99999&request_locale=ae
26,Dragon of Pride and Soul,Effect,DARK,,Dragon,8,,20260,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
27,Sengenjin Wakes from a Millennium,Effect,EARTH,,Beast-Warrior,8,,20180,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
28,Golem that Guards the Millennium Treasures,Effect,EARTH,,Rock,6,,20181,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
29,Shield of the Millennium Dynasty,Effect,EARTH,,Warrior,5,,20182,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
30,Maiden of the Millennium Moon,Effect,LIGHT,,Illusion,4,,20183,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
31,Fiend Reflection of the Millennium,Effect,WIND,,Illusion,4,,20184,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
32,Dark Magician the Magician of Black Magic,Effect,DARK,,Spellcaster,7,,20185,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
33,Gimmick Puppet Little Soldiers,Effect,DARK,,Machine,4,,20186,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
34,Gimmick Puppet Rouge Doll,Effect,DARK,,Machine,8,,20187,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
35,Gimmick Puppet Cattle Scream,Effect,DARK,,Machine,8,,20188,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
36,Light End Sublimation Dragon,Effect,LIGHT,,Dragon,8,,20189,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
37,Dark End Evaporation Dragon,Effect,DARK,,Dragon,8,,20190,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
38,"Knight Armed Dragon, the Armored Knight Dragon",Effect,WIND,,Dragon,3,,20191,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
39,Astellar of the White Forest,Effect,LIGHT,,Spellcaster,2,,20192,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
40,Elzette of the White Forest,Effect,LIGHT,,Spellcaster,2,,20193,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
41,Silvy of the White Forest,Tuner,LIGHT,,Spellcaster,4,,20194,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
42,Rucia of the White Forest,Tuner,LIGHT,,Spellcaster,4,,20195,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
43,Fiendsmith Engraver,Effect,LIGHT,,Fiend,6,,20196,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
44,Ragnaraika Wicked Butterfly,Effect,EARTH,,Insect,4,,20197,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
45,Tenpai Dragon Genroku,Effect,FIRE,,Dragon,3,,20198,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
46,Mementotlan Shleepy,Effect,EARTH,,Beast,3,,20199,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
47,Centur-Ion Atrii,Tuner,DARK,,Dragon,4,,20200,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
48,Drytron Nu II,Effect,LIGHT,,Machine,1,,20201,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
49,Lord of the Missing Barrows,Effect,LIGHT,,Fiend,10,,20202,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
50,Cosmo Queen the Queen of Prayers,Effect,DARK,,Spellcaster,8,,20203,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
51,Paralyzing Mushroom,Effect,LIGHT,,Thunder,5,,20204,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
52,Disablaster the Negation Fortress,Pendulum,LIGHT,,Machine,5,,20205,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
53,Mulcharmy Purulia,Effect,WATER,,Aqua,4,,20206,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
54,Dora Dora,Effect,FIRE,,Dragon,3,,20207,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
55,Broomy,Tuner,LIGHT,,Spellcaster,2,,20208,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
56,Bettan Bat,Tuner,EARTH,,Winged Beast,1,,20209,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
57,Depresspard,Effect,LIGHT,,Beast,2,,20210,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
58,Drytron Meteonis DA Draconids,Ritual,LIGHT,,Machine,12,,20211,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
59,The Unstoppable Exodia Incarnate,Fusion,DARK,,Spellcaster,10,,20212,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
60,Light and Darkness Dragonlord,Fusion,LIGHT,,Dragon,10,,20213,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
61,Fiendsmith's Lacrima,Fusion,LIGHT,,Fiend,6,,20214,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
62,Fiendsmith's Desirae,Fusion,LIGHT,,Fiend,9,,20215,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
63,Mementomictlan Tecuhtlica - Creation King,Fusion,EARTH,,Illusion,9,,20216,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
64,"Silvera, Wolf Tamer of the White Forest",Synchro,LIGHT,,Spellcaster,6,Tuner,20217,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
65,"Rciela, Sinister Soul of the White Forest",Synchro,LIGHT,,Spellcaster,6,Tuner,20218,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
66,"Diabell, Queen of the White Forest",Synchro,LIGHT,,Illusion,8,,20219,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
67,DPH Gendamoore,Synchro,FIRE,,Cyberse,8,Tuner,20220,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
68,Gimmick Puppet Fantasix Machinix,Xyz,DARK,,Machine,8,,20221,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
69,CXyz Gimmick Puppet Fanatix Machinix,Xyz,DARK,,Machine,9,,20222,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
70,Madolche Queen Tiarafraise,Xyz,EARTH,,Fairy,5,,20223,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
71,Heretical Phobos Covos,Xyz,DARK,,Illusion,4,,20224,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
72,Fiendsmith's Requiem,Link,LIGHT,,Fiend,1,,20225,INFINITE FORBIDDEN,2024/09/07,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=1&sess=1&pid=5000001385000&rp=99999&request_locale=ae
